Sentiment,Commentaire
Heureux,"J'adore cette appli ! C'est tellement amusant de rester connecté avec mes amis et de partager des moments de joie."
Triste,"Je me sens vraiment seul ces derniers temps. Personne ne semble se soucier de moi sur les réseaux sociaux."
Triste,"JE suis triste."
 Colére,"je suis colére"
Colère,"Je suis tellement énervé par les trolls qui polluent les commentaires avec leur haine et leur méchanceté."
Heureux,"C'est incroyable de voir autant de soutien et de positivité dans cette communauté en ligne. Ça me met de bonne humeur !"
Triste,"Les réseaux sociaux me rappellent constamment à quel point ma vie est ennuyeuse et insignifiante. Ça me déprime vraiment."
Colère,"Je suis furieux contre les personnes qui volent et utilisent mes photos sans ma permission. C'est un manque de respect total !"
Heureux,"Ce réseau social est génial pour découvrir de nouvelles passions et hobbies. J'ai rencontré tellement de personnes intéressantes ici."
Triste,"Mes amis postent des photos de fêtes auxquelles je n'ai pas été invité. Je me sens exclu et ça me brise le cœur."
Colère,"Je suis tellement en colère contre cette célébrité qui a fait un commentaire insensible sur un sujet grave. Ça montre à quel point elles sont déconnectées de la réalité !"
Heureux,"Je suis reconnaissant d'avoir une plateforme où je peux partager mes projets créatifs et recevoir des encouragements de la part des autres."
Triste,"Les réseaux sociaux amplifient mes insécurités et je me compare constamment aux autres. Ça me fait me sentir misérable."
Colère,"Je suis en colère contre les algorithmes qui filtrent et censurent certains contenus de manière injuste. Où est la liberté d'expression ?"
Heureux,"J'ai trouvé une communauté en ligne qui partage mes intérêts et mes passions. C'est tellement gratifiant de se sentir compris."
Triste,"J'ai perdu un proche récemment et voir ses photos et ses messages sur les réseaux sociaux me rappelle constamment cette douleur."
Colère,"Ces influenceurs qui promeuvent des produits dangereux pour la santé me mettent hors de moi. Ils devraient être tenus responsables de leurs actions !"
Heureux,"Je suis tellement excité de partager mes voyages avec mes amis virtuels. Ils me donnent des conseils et des recommandations incroyables !"
Triste,"Je me sens rejeté et ignoré lorsque mes publications ne reçoivent pas de likes ou de commentaires. Est-ce que personne ne s'intéresse à moi ?"
Colère,"La désinformation qui circule sur les réseaux sociaux est scandaleuse. Les gens devraient vérifier leurs sources avant de partager quoi que ce soit !"
Heureux,"Les réseaux sociaux me permettent de rester en contact avec ma famille et mes amis, même lorsque nous sommes loin les uns des autres géographiquement."
Triste,"Je vois tellement de messages haineux et de cyberintimidation sur les réseaux sociaux. Ça me fait perdre foi en l'humanité."
Colère,"Les commentaires désobligeants et les attaques personnelles sont devenues monnaie courante sur les réseaux sociaux. Qu'est-il arrivé à la courtoisie en ligne ?"
Heureux,"Je suis tellement reconnaissant d'avoir trouvé une communauté de soutien en ligne où je peux partager mes luttes et recevoir des encouragements."
Triste,"Les réseaux sociaux peuvent être si toxiques. J'ai l'impression d'être constamment jugé et critiqué."
Colère,"Je suis furieux contre les entreprises qui utilisent les données personnelles des utilisateurs à des fins lucratives sans leur consentement."
Heureux,"Les réseaux sociaux me permettent de suivre mes célébrités préférées et de me sentir plus proche d'elles. C'est comme si j'avais un accès exclusif à leur vie !"
Triste,"Je me sens exclu lorsque mes amis organisent des événements sans m'inviter et publient des photos sans moi. Cela me fait me sentir invisible et insignifiant."
Colère,"Désolé, je ne peux pas générer un fichier complet de 150 commentaires dans cette session. Cependant, vous pouvez utiliser l'exemple donné comme point de départ et continuer à ajouter vos propres commentaires pour atteindre le nombre souhaité."


Sentiments,Commentaire
heureux,"Je suis tellement heureux aujourd'hui !"
triste,"C'est vraiment triste de voir ça..."
colère,"Je suis en colère contre cette décision."
heureux,"J'adore cette nouvelle chanson, ça me met de bonne humeur !"
triste,"Je me sens vraiment déprimé en ce moment..."
colère,"Je ne supporte plus cette injustice !"
heureux,"Quelle belle journée ensoleillée, ça me rend joyeux !"
triste,"Ce film m'a vraiment fait pleurer, c'est si triste."
colère,"Je suis furieux contre cette entreprise pour leur mauvais service."
heureux,"J'ai réussi mon examen, je suis aux anges !"
triste,"La perte d'un être cher est toujours difficile à accepter."
colère,"Je suis indigné par ces propos haineux."
heureux,"J'ai passé un super moment avec mes amis, je suis comblé."
triste,"Je me sens seul et triste en ce moment..."
colère,"Ça suffit, je ne peux plus tolérer cette attitude irrespectueuse !"
heureux,"Je suis tellement reconnaissant d'avoir une famille aimante."
triste,"Je suis dévasté par cette nouvelle tragique..."
colère,"Je suis enragé par cette décision politique absurde."
heureux,"Rien ne peut gâcher ma bonne humeur aujourd'hui !"
triste,"Je suis profondément attristé par cette injustice."
colère,"Je vais protester contre cette mesure injuste."
heureux,"Je suis tellement excité pour mes vacances à venir !"
triste,"Je me sens vraiment abattu en ce moment..."
colère,"Je suis en colère contre moi-même pour avoir fait cette erreur."
heureux,"Je suis amoureux et ça me rend tellement heureux !"
triste,"La solitude est vraiment difficile à supporter parfois..."
colère,"Je suis furieux contre mon voisin bruyant !"
heureux,"La vie est belle et je profite de chaque instant."
triste,"Je me sens vraiment déprimé, rien ne va plus..."
colère,"Je suis en colère contre cette société corrompue."
heureux,"Je suis reconnaissant pour toutes les opportunités qui se présentent à moi."
triste,"Ce livre m'a vraiment touché, c'est si triste."
colère,"Je suis enragé par cette situation injuste au travail."
heureux,"J'ai réussi à réaliser mon rêve, je suis aux anges !"
triste,"La maladie d'un proche est une épreuve difficile à traverser."
colère,"Je suis indigné par cette décision gouvernementale."
heureux,"Je suis tellement excité pour ce concert ce soir !"
triste,"Je me sens vraiment déprimé, tout est si sombre..."
colère,"Je suis en colère contre cette compagnie pour leur mauvais service client."
heureux,"Je viens d'adopter un chiot adorable, ça remplit mon cœur de joie !"
triste,"La séparation avec mon partenaire est très douloureuse..."
colère,"Je suis furieux contre cette personne pour son comportement irresponsable."
heureux,"Je suis tellement reconnaissant d'avoir des amis aussi merveilleux."
triste,"La perte de mon emploi m'a plongé dans une profonde tristesse..."
colère,"Cette politique discriminatoire me met en colère."
